stage,region,school,team,role,sample_games,alive_seconds,valid_points,central_highland_step_status,central_highland_step_confidence,central_highland_step_manual_confirmed,central_highland_step_official_events,central_highland_step_official_games,central_highland_step_trajectory_crossings,central_highland_step_trajectory_games,road_step_status,road_step_confidence,road_step_manual_confirmed,road_step_official_events,road_step_official_games,road_step_trajectory_crossings,road_step_trajectory_games,fly_ramp_status,fly_ramp_confidence,fly_ramp_manual_confirmed,fly_ramp_official_events,fly_ramp_official_games,fly_ramp_trajectory_crossings,fly_ramp_trajectory_games,fly_ramp_forward_crossings,fly_ramp_forward_games,fly_ramp_reverse_crossings,fly_ramp_reverse_games,rough_road_status,rough_road_confidence,rough_road_manual_confirmed,rough_road_official_events,rough_road_official_games,rough_road_trajectory_crossings,rough_road_trajectory_games,road_tunnel_status,road_tunnel_confidence,road_tunnel_manual_confirmed,road_tunnel_official_events,road_tunnel_official_games,road_tunnel_trajectory_crossings,road_tunnel_trajectory_games,highland_tunnel_status,highland_tunnel_confidence,highland_tunnel_manual_confirmed,highland_tunnel_official_events,highland_tunnel_official_games,highland_tunnel_trajectory_crossings,highland_tunnel_trajectory_games,slope_43_status,slope_43_confidence,slope_43_manual_confirmed,slope_43_official_events,slope_43_official_games,slope_43_trajectory_crossings,slope_43_trajectory_games,trapezoid_highland_step_status,trapezoid_highland_step_confidence,trapezoid_highland_step_manual_confirmed,trapezoid_highland_step_official_events,trapezoid_highland_step_official_games,trapezoid_highland_step_trajectory_crossings,trapezoid_highland_step_trajectory_games,central_highland_400mm_jump_status,central_highland_400mm_jump_confidence,central_highland_400mm_jump_manual_confirmed,central_highland_400mm_jump_official_events,central_highland_400mm_jump_official_games,central_highland_400mm_jump_trajectory_crossings,central_highland_400mm_jump_trajectory_games
全国赛直通,南部赛区,华南农业大学,Taurus,英雄,20,7673,8212,已证实,0.99,False,10,7,19,8,已证实,0.975,False,3,3,5,4,未观察到,0.1,False,0,0,0,0,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,弱迹象,0.4,False,0,0,1,1,未观察到,0.1,False,0,0,0,0
全国赛直通,南部赛区,华南农业大学,Taurus,工程,20,7725,8212,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,0,0,0,0,较强迹象,0.8,False,0,0,39,18,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0
全国赛直通,南部赛区,华南农业大学,Taurus,步兵3,17,6356,6857,未观察到,0.1,False,0,0,0,0,弱迹象,0.4,False,0,0,1,1,已证实,0.975,False,3,3,0,0,0,0,0,0,未观察到,0.1,False,0,0,0,0,较强迹象,0.8,False,0,0,28,12,较强迹象,0.8,False,0,0,33,15,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0
全国赛直通,南部赛区,华南农业大学,Taurus,步兵4,20,7185,8184,已证实,0.99,False,30,14,36,14,已证实,0.99,False,13,7,32,13,已证实,0.99,False,13,9,3,3,3,3,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,可能具备,0.65,False,0,0,2,2,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0
全国赛直通,南部赛区,华南农业大学,Taurus,哨兵,20,7341,7592,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0
全国赛直通,南部赛区,五邑大学,IMCA,英雄,15,5625,6153,未观察到,0.1,False,0,0,0,0,可能具备,0.65,False,0,0,2,2,未观察到,0.1,False,0,0,0,0,0,0,0,0,较强迹象,0.8,False,0,0,7,6,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,较强迹象,0.8,False,0,0,14,12,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0
全国赛直通,南部赛区,五邑大学,IMCA,工程,15,5946,6150,已证实,0.99,False,11,10,10,8,已证实,0.99,False,6,6,10,9,未观察到,0.1,False,0,0,0,0,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0
全国赛直通,南部赛区,五邑大学,IMCA,步兵3,15,5252,6151,已证实,0.99,False,32,13,20,10,已证实,0.945,False,1,1,25,12,已证实,0.99,False,11,9,9,6,9,6,0,0,未观察到,0.1,False,0,0,0,0,弱迹象,0.4,False,0,0,1,1,较强迹象,0.8,False,0,0,8,5,弱迹象,0.4,False,0,0,1,1,弱迹象,0.4,False,0,0,1,1,未观察到,0.1,False,0,0,0,0
全国赛直通,南部赛区,五邑大学,IMCA,步兵4,15,5428,6150,未观察到,0.1,False,0,0,0,0,较强迹象,0.8,False,0,0,11,9,未观察到,0.1,False,0,0,0,0,0,0,0,0,未观察到,0.1,False,0,0,0,0,较强迹象,0.8,False,0,0,13,9,较强迹象,0.8,False,0,0,22,11,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0
全国赛直通,南部赛区,五邑大学,IMCA,哨兵,15,5920,6016,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0,未观察到,0.1,False,0,0,0,0
